group,team,fifa_rank,category,shirt_number,name,club,position_detail,dob,age,badges,epithet
A,South Africa,60,Midfielder,5,Thalente Mbatha,Orlando Pirates,Midfielder,2000-03-06,26,,All-action midfielder
A,South Africa,60,Midfielder,6,Aubrey Modiba,Mamelodi Sundowns,Midfielder,1995-07-22,30,,'The Postman'
A,South Africa,60,Midfielder,13,Sphephelo Sithole,CD Tondela,Midfielder,1999-03-03,27,,
A,South Africa,60,Midfielder,23,Jayden Adams,Mamelodi Sundowns,Midfielder,2001-05-05,25,gem,Going places
A,South Africa,60,Forward,7,Oswin Appollis,Orlando Pirates,Forward (winger),2001-08-25,24,,
A,South Africa,60,Forward,8,Tshepang Moremi,Orlando Pirates,Forward (winger),2000-10-02,25,,Former sprinter
A,South Africa,60,Forward,9,Lyle Foster,Burnley,Forward,2000-09-03,25,attacker|star,Goal threat
A,South Africa,60,Forward,10,Relebohile Mofokeng,Orlando Pirates,Forward,2004-10-23,21,,
A,South Africa,60,Forward,11,Themba Zwane,Mamelodi Sundowns,Forward,1989-08-03,36,captain,Veteran
A,South Africa,60,Forward,12,Thapelo Maseko,Mamelodi Sundowns,Forward (winger),2003-11-11,22,,
A,South Africa,60,Forward,15,Iqraam Rayners,Mamelodi Sundowns,Forward,1995-12-19,30,,
A,South Africa,60,Forward,17,Evidence Makgopa,Orlando Pirates,Forward,2000-06-05,26,,
B,Switzerland,19,Coach,,Murat Yakin,,Manager,,,,
B,Switzerland,19,Goalkeeper,1,Gregor Kobel,Borussia Dortmund,Goalkeeper,1997-12-06,28,,No 1 goalkeeper
B,Switzerland,19,Goalkeeper,12,Yvon Mvogo,Lorient,Goalkeeper,1994-06-06,32,,
B,Switzerland,19,Goalkeeper,21,Marvin Keller,Young Boys,Goalkeeper,2002-07-03,23,,
B,Switzerland,19,Defender,2,Miro Muheim,Hamburg,Defender,1998-03-24,28,,
B,Switzerland,19,Defender,3,Silvan Widmer,Mainz,Defender,1993-03-05,33,,
B,Switzerland,19,Defender,4,Nico Elvedi,Borussia Mönchengladbach,Defender,1996-09-30,29,,'The Kinfisher'
B,Switzerland,19,Defender,5,Manuel Akanji,Inter,Defender,1995-07-19,30,defender,Defensive leader
B,Switzerland,19,Defender,13,Ricardo Rodriguez,Real Betis,Defender,1992-08-25,33,,
B,Switzerland,19,Defender,18,Eray Cömert,Valencia,Defender,1998-02-04,28,,
B,Switzerland,19,Defender,24,Aurèle Amenda,Eintracht Frankfurt,Defender,2003-07-31,22,,
B,Switzerland,19,Defender,25,Luca Jaquez,Stuttgart,Defender,2003-06-02,23,,
B,Switzerland,19,Midfielder,6,Denis Zakaria,Monaco,Midfielder,1996-11-20,29,,
B,Switzerland,19,Midfielder,8,Remo Freuler,Bologna,Midfielder,1992-04-15,34,,Running machine
B,Switzerland,19,Midfielder,10,Granit Xhaka,Sunderland,Midfielder,1992-09-27,33,star|captain|midfielder,Captain
B,Switzerland,19,Midfielder,14,Ardon Jashari,Milan,Midfielder,2002-07-30,23,,
B,Switzerland,19,Midfielder,15,Djibril Sow,Sevilla,Midfielder,1997-02-06,29,,
B,Switzerland,19,Midfielder,16,Christian Fassnacht,Young Boys,Midfielder,1993-11-11,32,gem,Surprise call-up
B,Switzerland,19,Midfielder,20,Michel Aebischer,Pisa,Midfielder,1997-01-06,29,,Linguist
B,Switzerland,19,Midfielder,22,Fabian Rieder,Augsburg,Midfielder,2002-02-16,24,,
B,Switzerland,19,Forward,7,Breel Embolo,Rennes,Forward,1997-02-14,29,attacker,Main goalscorer
B,Switzerland,19,Forward,9,Johan Manzambi,Freiburg,Forward,2005-10-14,20,breakout,On the rise
B,Switzerland,19,Forward,11,Dan Ndoye,Nottingham Forest,Forward,2000-10-25,25,,
B,Switzerland,19,Forward,17,Ruben Vargas,Sevilla,Forward,1998-08-05,27,,
B,Switzerland,19,Forward,19,Noah Okafor,Leeds,Forward,2000-05-24,26,,
B,Switzerland,19,Forward,23,Zeki Amdouni,Burnley,Forward,2000-12-04,25,,Messi-admirer
B,Switzerland,19,Forward,26,Cedric Itten,Fortuna Düsseldorf,Forward,1996-12-27,29,,
B,Canada,30,Coach,,Jesse Marsch,,Manager,,,,
B,Canada,30,Goalkeeper,1,Dayne St. Clair,Inter Miami,Goalkeeper,1997-05-09,29,,Gentle giant
B,Canada,30,Goalkeeper,16,Maxime Crépeau,Orlando City,Goalkeeper,1994-05-11,32,,Multilinguist
B,Canada,30,Goalkeeper,18,Owen Goodman,Crystal Palace,Goalkeeper,2003-11-27,22,,
B,Canada,30,Defender,2,Alistair Johnston,Celtic,Defender,1998-10-08,27,,Loves a tackle
B,Canada,30,Defender,3,Alfie Jones,Middlesbrough,Defender,1997-10-07,28,,
B,Canada,30,Defender,4,Luc De Fougerolles,Fulham,Defender,2005-10-12,20,,
B,Canada,30,Defender,5,Joel Waterman,Chicago Fire,Defender,1996-01-24,30,,History maker
B,Canada,30,Defender,13,Derek Cornelius,Marseille,Defender,1997-11-25,28,,Old-school
B,Canada,30,Defender,15,Moïse Bombito,Nice,Defender,2000-03-30,26,,
B,Canada,30,Defender,19,Alphonso Davies,Bayern Munich,Defender,2000-11-02,25,star|captain|defender,Superstar
B,Canada,30,Defender,22,Richie Laryea,Toronto FC,Defender,1995-01-07,31,,
B,Canada,30,Defender,23,Niko Sigur,Hajduk Split,Defender,2003-09-09,22,,
B,Canada,30,Midfielder,6,Mathieu Choinière,Los Angeles FC,Midfielder,1999-02-07,27,midfielder,Set-piece specialist
B,Canada,30,Midfielder,7,Stephen Eustáquio,Porto,Midfielder,1996-12-21,29,,A coach's dream
B,Canada,30,Midfielder,8,Ismaël Koné,Sassuolo,Midfielder,2002-06-16,23,breakout|gem,Going places
B,Canada,30,Midfielder,14,Jacob Shaffelburg,Los Angeles FC,Midfielder,1999-11-26,26,,
B,Canada,30,Midfielder,21,Jonathan Osorio,Toronto FC,Midfielder,1992-06-12,33,,
B,Canada,30,Midfielder,25,Nathan-Dylan Saliba,Anderlecht,Midfielder,2004-02-07,22,,
B,Canada,30,Forward,9,Cyle Larin,Mallorca,Forward,1995-04-17,31,,Cult hero
B,Canada,30,Forward,10,Jonathan David,Juventus,Forward,2000-01-14,26,attacker,Main goalscorer
B,Canada,30,Forward,11,Liam Millar,Hull City,Forward,1999-09-27,26,,
B,Canada,30,Forward,12,Tani Oluwaseyi,Villarreal,Forward,2000-05-15,26,,
B,Canada,30,Forward,17,Tajon Buchanan,Villarreal,Forward (winger),1999-02-08,27,,Unpredictable
B,Canada,30,Forward,20,Ali Ahmed,Norwich City,Forward (winger),2000-10-10,25,,
B,Canada,30,Forward,24,Promise David,Union Saint-Gilloise,Forward,2001-07-03,24,,
B,Canada,30,Forward,26,Marcelo Flores,Tigres UANL,Forward (winger),2003-10-01,22,,
B,Bosnia and Herzegovina,65,Coach,,Sergej Barbarez,,Manager,,,,
B,Bosnia and Herzegovina,65,Goalkeeper,1,Nikola Vasilj,St Pauli,Goalkeeper,1995-12-02,30,,Long-term keeper
B,Bosnia and Herzegovina,65,Goalkeeper,12,Mladen Jurkas,Borac Banja Luka,Goalkeeper,2007-10-07,18,gem,Late call-up
B,Bosnia and Herzegovina,65,Goalkeeper,22,Martin Zlomislic,HNK Rijeka,Goalkeeper,1998-08-16,27,,
B,Bosnia and Herzegovina,65,Defender,2,Nihad Mujakic,Gaziantep,Defender,1998-04-15,28,defender,
B,Bosnia and Herzegovina,65,Defender,3,Dennis Hadzikadunic,Sampdoria,Defender,1998-07-09,27,,
B,Bosnia and Herzegovina,65,Defender,4,Tarik Muharemovic,Sassuolo,Defender,2003-02-28,23,,Mature beyond his years
B,Bosnia and Herzegovina,65,Defender,5,Sead Kolasinac,Atalanta,Defender,1993-06-20,32,,Former nightclub bouncer
B,Bosnia and Herzegovina,65,Defender,7,Amar Dedic,Benfica,Defender,2002-08-18,23,,
B,Bosnia and Herzegovina,65,Defender,18,Nikola Katic,Schalke,Defender,1996-10-10,29,,Old-school
B,Bosnia and Herzegovina,65,Defender,21,Stjepan Radeljic,HNK Rijeka,Defender,1997-09-05,28,,
B,Bosnia and Herzegovina,65,Defender,24,Nidal Celik,Lens,Defender,2006-07-17,19,,Next generation
B,Bosnia and Herzegovina,65,Midfielder,6,Benjamin Tahirovic,Brøndby,Midfielder,2003-03-03,23,midfielder,
B,Bosnia and Herzegovina,65,Midfielder,8,Armin Gigovic,Young Boys,Midfielder,2002-04-06,24,,
B,Bosnia and Herzegovina,65,Midfielder,13,Ivan Basic,Astana,Midfielder,2002-04-30,24,,
B,Bosnia and Herzegovina,65,Midfielder,14,Ivan Sunjic,Pafos,Midfielder,1996-10-19,29,,
B,Bosnia and Herzegovina,65,Midfielder,16,Amir Hadziahmetovic,Hull City,Midfielder,1997-03-08,29,,Tactically disciplined
B,Bosnia and Herzegovina,65,Midfielder,17,Dzenis Burnic,Karlsruhe,Midfielder,1998-05-22,28,,
B,Bosnia and Herzegovina,65,Midfielder,26,Ermin Mahmic,Slovan Liberec,Midfielder,2005-03-14,21,,New recruit
B,Bosnia and Herzegovina,65,Forward,9,Samed Bazdar,Real Zaragoza,Forward,2004-01-31,22,attacker|star,
B,Bosnia and Herzegovina,65,Forward,10,Ermedin Demirovic,Stuttgart,Forward,1998-03-25,28,,Keeps promises
B,Bosnia and Herzegovina,65,Forward,11,Edin Dzeko,Schalke,Forward,1986-03-17,40,,All-time great
B,Bosnia and Herzegovina,65,Forward,15,Amar Memic,Viktoria Plzen,Forward (winger),2001-01-20,25,,Hard-working
B,Bosnia and Herzegovina,65,Forward,19,Kerim Alajbegovic,Bayer Leverkusen,Forward (winger),2007-09-21,18,breakout,Face of the future
B,Bosnia and Herzegovina,65,Forward,20,Esmir Bajraktarevic,PSV Eindhoven,Forward (winger),2005-03-10,21,,Proud Bosnian
B,Bosnia and Herzegovina,65,Forward,23,Haris Tabakovic,Borussia Mönchengladbach,Forward,1994-06-20,31,,
B,Bosnia and Herzegovina,65,Forward,25,Jovo Lukic,Universitatea Cluj,Forward,1998-11-28,27,,
B,Qatar,55,Coach,,Julen Lopetegui,,Manager,,,,
B,Qatar,55,Goalkeeper,1,Mahmoud Abunada,Al-Rayyan,Goalkeeper,2000-02-05,26,,
B,Qatar,55,Goalkeeper,21,Salah Zakaria,Al-Duhail,Goalkeeper,1999-04-24,27,,
B,Qatar,55,Goalkeeper,22,Meshaal Barsham,Al-Sadd,Goalkeeper,1998-02-14,28,,Penalty specialist
B,Qatar,55,Defender,2,Pedro Miguel,Al-Sadd,Defender,1990-08-06,35,defender,Versatile
B,Qatar,55,Defender,3,Lucas Mendes,Al-Wakrah,Defender,1990-07-03,35,,
B,Qatar,55,Defender,4,Issa Laye,Al-Arabi,Defender,1997-12-22,28,,
B,Qatar,55,Defender,13,Ayoub Alawi,Al-Gharafa,Defender,2005-03-11,21,,Late addition
B,Qatar,55,Defender,14,Homam Ahmed,Cultural Leonesa,Defender,1999-08-25,26,,
B,Qatar,55,Defender,16,Boualem Khoukhi,Al-Sadd,Defender,1990-07-09,35,,Former winger
B,Qatar,55,Defender,18,Sultan Al-Brake,Al-Duhail,Defender,1996-04-07,30,,
B,Qatar,55,Defender,25,Hashmi Hussein,Al-Arabi,Defender,2003-08-15,22,,Sparked controversy
B,Qatar,55,Midfielder,5,Jassem Gaber,Al-Rayyan,Midfielder,2002-02-20,24,,
B,Qatar,55,Midfielder,6,Abdulaziz Hatem,Al-Rayyan,Midfielder,1990-10-28,35,captain,Veteran
B,Qatar,55,Midfielder,12,Karim Boudiaf,Al-Duhail,Midfielder,1990-09-16,35,,Game-changer
B,Qatar,55,Midfielder,20,Ahmed Fathy,Al-Arabi,Midfielder,1993-01-25,33,,
B,Qatar,55,Midfielder,23,Assim Madibo,Al-Wakrah,Midfielder,1996-10-22,29,midfielder,Running machine
B,Qatar,55,Midfielder,26,Mohamed Al-Mannai,Al-Shamal,Midfielder,2003-10-30,22,,
B,Qatar,55,Forward,7,Ahmed Alaaeldin,Al-Rayyan,Forward,1993-01-31,33,attacker,
B,Qatar,55,Forward,8,Edmilson Junior,Al-Duhail,Forward,1994-08-19,31,,
B,Qatar,55,Forward,9,Mohammed Muntari,Al-Gharafa,Forward,1993-12-20,32,,
B,Qatar,55,Forward,10,Hassan Al-Haydos,Al-Sadd,Forward,1990-12-11,35,,Leader
B,Qatar,55,Forward,11,Akram Afif,Al-Sadd,Forward,1996-11-18,29,star,Super star
B,Qatar,55,Forward,15,Yusuf Abdurisag,Al-Wakrah,Forward,1999-08-06,26,,Tricky winger
B,Qatar,55,Forward,17,Ahmed Al-Ganehi,Al-Gharafa,Forward,2000-09-22,25,,
B,Qatar,55,Forward,19,Almoez Ali,Al-Duhail,Forward,1996-08-19,29,,All-time leading goalscorer
B,Qatar,55,Forward,24,Tahsin Mohammed Jamshid,Al-Duhail SC,Forward,2006-06-16,19,breakout|gem,
C,Brazil,6,Coach,,Carlo Ancelotti,,Manager,,,,
C,Brazil,6,Goalkeeper,1,Alisson,Liverpool,Goalkeeper,1992-10-02,33,,No 1 goalkeeper
C,Brazil,6,Goalkeeper,12,Weverton,Grêmio,Goalkeeper,1987-12-13,38,,
C,Brazil,6,Goalkeeper,23,Ederson,Fenerbahce,Goalkeeper,1993-08-17,32,,
C,Brazil,6,Defender,2,Wesley,Roma,Defender,2003-09-06,22,,
C,Brazil,6,Defender,3,Gabriel Magalhães,Arsenal,Defender,1997-12-19,28,,Defensive rock
C,Brazil,6,Defender,4,Marquinhos,Paris St-Germain,Defender,1994-05-14,32,captain|defender,Natural leader
C,Brazil,6,Defender,6,Alex Sandro,Flamengo,Defender,1991-01-26,35,,Trophy collector
C,Brazil,6,Defender,13,Danilo,Flamengo,Defender,1991-07-15,34,,Bookworm
C,Brazil,6,Defender,14,Bremer,Juventus,Defender,1997-03-18,29,,
C,Brazil,6,Defender,15,Léo Pereira,Flamengo,Defender,1996-01-31,30,,
C,Brazil,6,Defender,16,Douglas Santos,Zenit St Petersburg,Defender,1994-03-22,32,,
C,Brazil,6,Defender,24,Roger Ibañez,Al-Ahli,Defender,1998-11-23,27,,
C,Brazil,6,Midfielder,5,Casemiro,Manchester United,Midfielder,1992-02-23,34,,Midfield engine
C,Brazil,6,Midfielder,8,Bruno Guimarães,Newcastle,Midfielder,1997-11-16,28,midfielder,Pass master
C,Brazil,6,Midfielder,17,Fabinho,Al-Ittihad,Midfielder,1993-10-23,32,,
C,Brazil,6,Midfielder,18,Danilo Santos,Botafogo,Midfielder,2001-04-29,25,,
C,Brazil,6,Midfielder,20,Lucas Paquetá,Flamengo,Midfielder,1997-08-27,28,,
C,Brazil,6,Forward,7,Vinícius Júnior,Real Madrid,Forward,2000-07-12,25,star|attacker,Super star
C,Brazil,6,Forward,9,Matheus Cunha,Manchester United,Forward,1999-05-27,27,,
C,Brazil,6,Forward,10,Neymar,Santos,Forward,1992-02-05,34,,Legend
C,Brazil,6,Forward,11,Raphinha,Barcelona,Forward (winger),1996-12-14,29,,
C,Brazil,6,Forward,19,Endrick,Real Madrid,Forward,2006-07-21,19,breakout|gem,
C,Brazil,6,Forward,21,Luiz Henrique,Zenit St Petersburg,Forward,2001-01-02,25,,
C,Brazil,6,Forward,22,Gabriel Martinelli,Arsenal,Forward,2001-06-18,24,,
C,Brazil,6,Forward,25,Igor Thiago,Brentford,Forward,2001-06-26,24,,
C,Brazil,6,Forward,26,Rayan,Bournemouth,Forward,2006-08-03,19,,Teenage sensation
C,Morocco,8,Coach,,Mohamed Ouahbi,,Manager,,,,
C,Morocco,8,Goalkeeper,1,Yassine Bounou,Al-Hilal,Goalkeeper,1991-04-05,35,,No 1 goalkeeper
C,Morocco,8,Goalkeeper,12,Munir El Kajoui,RS Berkane,Goalkeeper,1989-05-10,37,,
C,Morocco,8,Goalkeeper,22,Ahmed Reda Tagnaouti,AS FAR Rabat,Goalkeeper,1996-04-05,30,,Comeback kid
C,Morocco,8,Defender,2,Achraf Hakimi,Paris St-Germain,Defender,1998-11-04,27,star|captain|defender,Key player
C,Morocco,8,Defender,3,Noussair Mazraoui,Manchester United,Defender,1997-11-14,28,,
C,Morocco,8,Defender,5,Nayef Aguerd,Marseille,Defender,1996-03-30,30,,
C,Morocco,8,Defender,13,Zakaria El Ouahdi,Genk,Defender,2001-12-31,24,,
C,Morocco,8,Defender,14,Issa Diop,Fulham,Defender,1997-01-09,29,,New recruit
C,Morocco,8,Defender,18,Chadi Riad,Crystal Palace,Defender,2003-06-17,22,,
C,Morocco,8,Defender,19,Youssef Belammari,Al Ahly,Defender,1998-09-20,27,,
C,Morocco,8,Defender,25,Redouane Halhal,Mechelen,Defender,2003-03-05,23,,
C,Morocco,8,Defender,26,Anass Salah-Eddine,Roma,Defender,2002-01-18,24,,
C,Morocco,8,Midfielder,4,Sofyan Amrabat,Real Betis,Midfielder,1996-08-21,29,,The Gladiator'
C,Morocco,8,Midfielder,6,Ayyoub Bouaddi,Lille,Midfielder,2007-10-02,18,breakout|gem,Physics student
C,Morocco,8,Midfielder,8,Azzedine Ounahi,Girona,Midfielder,2000-04-19,26,,‘The Bee’
C,Morocco,8,Midfielder,11,Ismael Saibari,PSV Eindhoven,Midfielder,2001-01-28,25,,
C,Morocco,8,Midfielder,15,Samir El Mourabet,Strasbourg,Midfielder,2005-10-06,20,,Former futsal player
C,Morocco,8,Midfielder,16,Gessime Yassine,Strasbourg,Midfielder,2005-11-22,20,,Natural-born dribbler
C,Morocco,8,Midfielder,23,Bilal El Khannouss,Stuttgart,Midfielder,2004-05-10,22,,
C,Morocco,8,Midfielder,24,Neil El Aynaoui,Roma,Midfielder,2001-07-02,24,,Son of a tennis legend
